,SCE FI with service Variables
Res_pct,0.12371313853284487
Com_pct,0.11271837792492323
Ind_pct,0.029995714202345546
Agr_pct,0.02251761135290157
Oth_pct,0.10989929180172328
tothh_Cpoly,0.06883110819529416
tothh_ctot,0.23183075992382593
tothh_pct,0.06629598478181792
tothh_perkm,0.09400069344314328
ResCust,0.14019731984118025
