,PG&E FI with house_hhdens Variables
ownerocc_pct,0.26678694695239147
singleunit_pct,0.16374737413823517
unitsavg,0.17638908148272378
medyrbuilt,0.15590571791070745
duplex_pct,0.06954047802058672
smallmulti_pct,0.10490286156528106
largemulti_pct,0.0627275399300744
