,SCE FI with house_hhdens Variables
ownerocc_pct,0.2765841873969766
singleunit_pct,0.15551987478636756
unitsavg,0.16590286327466724
medyrbuilt,0.1274083710206992
duplex_pct,0.07452737272726193
smallmulti_pct,0.11926060696261725
largemulti_pct,0.08079672383141039
