,PG&E FI with service Variables
Res_pct,0.05158949677845884
Com_pct,0.057823877169415894
Ind_pct,0.08519053240723196
Agr_pct,0.08133485702562945
Oth_pct,0.06212206181518654
tothh_Cpoly,0.07135386999429043
tothh_ctot,0.317510277525885
tothh_pct,0.08647467873492035
tothh_perkm,0.11894305992193703
ResCust,0.06765728862704458
