"int","prevalence","precision","cpe","sta.cpe","fsd","sta.fsd","mip","sta.mip","stability"
"CircVolt_kV+_Oth_pct-",0.220301092114571,153.655933580328,-0.000737261094958974,0,0.0129657243101826,1,0.0174210379103208,1,1
"Length_m_ctot+_ResCust+",0.373084016884471,153.825204427746,-0.000744469503833223,0,0.0191781702945054,1,0.0276287594005389,1,1
"CircVolt_kV+_Res_pct+",0.270328330451805,153.98124470165,-0.000751100403441951,0,0.0264614948622439,1,0.0195359399152988,1,1
"Agr_pct-_Res_pct+_ResCust+_tothh_ctot+",0.109520976555922,154.042952701599,-0.000753718953478977,0,0.0578189276225651,1,-0.00268109032832164,0,0
"CircVolt_kV+_edavgyrs-",0.0911744846905045,154.050313038884,-0.000754031145448142,0,0.0714469872557286,1,0.0199843896708884,1,0
"Length_m_ctot+_Oth_pct-",0.248456534001524,154.212255536727,-0.000760892442662087,0,0.0378298928110616,1,0.0301417739716863,1,1
"Length_m_ctot+_tothh_ctot+",0.426141107884843,154.223831259025,-0.000761382337653216,0,0.0181629665940805,1,0.0302168347236469,1,1
"Oth_pct-_ResCust+_tothh_ctot+",0.231211788416355,154.291329150424,-0.000764237440441962,0,-0.0262738907735085,0,0.0250167352321355,1,1
"Com_pct-_Ind_pct-_tothh_ctot+",0.172716948047492,154.327024800407,-0.000765746322843208,0,0.0833125339158254,1,0.0256621821888015,1,0
"Length_m_ctot+_medhhinc-",0.0894561800231496,154.357542578611,-0.000767035777479386,0,0.105796281841146,1,0.0310834542884759,1,0
"Agr_pct-_edavgyrs-_Res_pct+_ResCust+",0.0272447055945624,154.444954903953,-0.000770726343723549,0,0.16643297149135,1,-0.00971073611931406,0,0
"Res_pct+_ResCust+_tothh_ctot+",0.273564327268773,154.456509916629,-0.000771213885111255,0,-0.0492174969610828,0,0.0260867396892603,1,1
"CircVolt_kV+_Ind_pct-",0.195575836283906,154.510975480076,-0.00077351096897349,0,0.0704764033674918,1,0.0229702650906756,1,1
"Com_pct-_Length_m_ctot+",0.304198094691137,154.662732848699,-0.000779902770607466,0,0.0397624015168752,1,0.0330586668785893,1,1
"CircVolt_kV+_hhdensity_hhsqkm+",0.146896374276472,154.853116802795,-0.000787903693800551,0,0.0154773297405322,1,0.0251821666703833,1,1
"tothh_ctot+_tothh+",0.152039338326948,154.897855323249,-0.000789780975759102,0,-0.00603904986746118,0,0.0524087704489649,1,0
"Com_pct-_ResCust+_tothh_ctot+",0.284337269591761,155.009374867516,-0.000794455737040956,0,-0.0199256026821173,0,0.0296597702962016,1,1
"CircVolt_kV+_Res_pct+_tothh_ctot+",0.227470016637915,155.159802632769,-0.000800750802641303,0,0.102174547649521,1,0.00762476320174699,1,1
"Ind_pct-_Length_m_ctot+",0.212030985120532,155.183313315348,-0.000801733565780172,0,0.055852072931182,1,0.0364189224824933,1,1
"Agr_pct-_Length_m_ctot+_tothh_ctot+",0.167093709021252,155.249178373166,-0.000804485181584935,0,0.10440434432207,1,0.00662643160538323,1,0
"CircVolt_kV+_ResCust+_tothh_ctot+",0.273405084677786,155.282023118195,-0.000805856447108066,0,0.0520694658178711,1,0.0130064921572739,1,1
"Com_pct-_Ind_pct-_ResCust+",0.143603097550648,155.489742989932,-0.000814515274744299,0,0.0326937385463388,1,0.0316779926473094,1,0
"polenvt_pctl-_tothh_ctot+",0.211090107871847,155.504462083893,-0.000815127961424356,0,0.045475878804391,1,0.0379701608318639,1,1
"hhdensity_hhsqkm+_Length_m_ctot+",0.165358611513597,155.597061296055,-0.000818979764171335,0,0.0384579099618743,1,0.0390815631055901,1,1
"Ind_pct-_ResCust+_tothh_ctot+",0.201508328404466,155.615430836404,-0.00081974332603596,0,0.0127803749945301,1,0.0324860014101631,1,0
"CircVolt_kV+_Com_pct-",0.268346461383908,155.684480376419,-0.000822611873303236,0,0.00977073408865903,1,0.0305365299899014,1,1
"polenvt_pctl-_ResCust+",0.180151044181117,155.790529815884,-0.000827012551633421,0,0.0209685119866736,1,0.0398080819032733,1,0
"CircVolt_kV+_Oth_pct-_tothh_ctot+",0.185625988604933,155.810481318951,-0.000827839797076901,0,0.090036225490443,1,0.0139245000244834,1,0
"polenvt_pctl-_Res_pct+",0.138571766861857,155.997263778054,-0.000835574026804453,0,-0.00739758847134486,0,0.0411342017624436,1,1
"inc150kplus_pct-_tothh_ctot+",0.141776558706299,156.030784440088,-0.000836960073822945,0,0.044858719629344,1,0.0451842470205106,1,0
"inc150kplus_pct-_ResCust+",0.12409198978808,156.214701047993,-0.000844554228748517,0,0.0456116689318136,1,0.0463622728862001,1,0
"Length_m_ctot+_Res_pct+_tothh_ctot+",0.2470797093763,156.694526998144,-0.00086428266975247,0,0.089458570467374,1,0.0158932252169679,1,1
"CircVolt_kV+_Com_pct-_tothh_ctot+",0.224223174633045,156.722035777459,-0.00086541004284113,0,0.0784655703240444,1,0.00664236603413748,1,1
