"int","prevalence","precision","cpe","sta.cpe","fsd","sta.fsd","mip","sta.mip","stability"
"inc150kplus_pct-_ResCust+",0.0678186160555066,42.5993437828897,0.000839379967687126,1,0.0225165816402293,1,-0.01998036235705,0,0
"duplex_pct-_tothh_ctot+",0.0821647773475182,42.6474448957228,0.000812267456760107,1,0.0382954268295088,1,-0.0384373742212434,0,1
"Com_pct-_tothh_ctot+",0.265618585042454,42.7537217465035,0.000752582700075166,1,0.00654335978728371,1,-0.0359484877148697,0,1
"hhdensity_hhsqkm+_tothh_ctot+",0.235398820806003,42.9401852100246,0.000648587796038047,1,-0.00962194475826728,0,-0.0315966320363543,0,1
"polexposure_pctl-_tothh_ctot+",0.163268278532474,42.9619916749392,0.000636485496759764,1,0.0270294201540908,1,-0.0310889274315631,0,1
"Com_pct-_polenvt_pctl+",0.0784382582371939,42.9716821446494,0.000631111403317064,1,-0.0155456213545282,0,-0.0452473804213209,0,0
"Res_pct-_tothh_ctot+",0.128100427779265,43.0174894949333,0.00060574095012278,1,0.0247832376568491,1,-0.0297979722653632,0,1
"Res_pct+_tothh_ctot+",0.268021563704612,43.2082620455244,0.00050066673101723,1,0.0134156844011093,1,-0.0253730096883014,0,1
"hhdensity_hhsqkm-_tothh_ctot+",0.147385594745112,43.2415223577516,0.000482443561327539,1,0.0192601993472017,1,-0.0246035383912262,0,0
"Com_pct-_popsens_pctl+",0.0720767279329347,43.2619311734202,0.000471275702522256,1,0.0398898236855421,1,-0.0303698662854419,0,1
"asian_pct-_tothh_ctot+",0.106898146329162,43.2911039759027,0.000455330622991745,1,0.037704496183093,1,-0.0234575747084431,0,0
"Com_pct-_polexposure_pctl+",0.0825101353816752,43.3339699938086,0.000431940604698422,1,0.0756312524217715,1,-0.0331953438025914,0,0
"medhhinc-_racediversity-",0.0138782408856549,43.3790267661097,0.000407405611168699,1,0.00177027909435346,1,-0.0328185155320262,0,0
"asian_pct-_inc150kplus_pct-",0.017762846906853,43.4173372206074,0.000386584753303332,1,0.0192034351069381,1,-0.000960374889595883,0,0
"edavgyrs+_tothh_ctot+",0.0963808978940347,43.4343811436127,0.000377333714237871,1,-0.00149727917628839,0,-0.0228807194871563,0,0
"Length_m_ctot+_ResCust+",0.180639549119897,43.5887132573191,0.000293899099511385,1,-0.00250944640347139,0,-0.00575897886819021,0,1
"Length_m_ctot+_Res_pct+",0.133255889866602,43.5982178888538,0.000288780267026389,1,0.0861930002036102,1,-0.00554095005475608,0,0
"Length_m_ctot+_tothh_ctot+",0.216912055810995,43.6065744787292,0.00028428159109839,1,-0.0428506898153134,0,-0.0161968079222774,0,1
"inc150kplus_pct-_tothh_ctot+",0.0848107776437533,43.7115585947002,0.000227912835908395,1,0.0227728432064609,1,-0.013792171843539,0,0
"Agr_pct-_Ind_pct-",0.126062733062587,43.73343831667,0.000216199510381543,1,0.0263477627347317,1,-0.0560303119612175,0,1
"Length_m_ctot-_tothh_ctot+",0.178861613344711,43.7435088090683,0.000210812248563785,1,0.0560058963347358,1,-0.0130615059887638,0,1
"hhdensity_hhsqkm+_lingisolation_pctl-",0.0615297543342035,43.7621188464939,0.000200863313999822,1,-0.0212873107463203,0,-0.0119929673752082,0,0
"polexposure_pctl+_Res_pct+",0.0764629599189968,43.7843788644702,0.000188974336099434,1,-0.00261717225801616,0,-0.0228550908080933,0,0
"tothh_pct-_tothh_perkm+",0.208237051069284,43.869081726425,0.000143846499935707,1,0.0497173049040702,1,-0.181024429917633,0,1
"lingisolation_pctl-_Res_pct+",0.0731711198554508,44.0483968460832,4.88905892752634e-05,1,0.0452440025448051,1,-0.00547258626598479,0,0
"hhdensity_hhsqkm+_Length_m_ctot+",0.11903670554752,44.0667721543855,3.92041466961146e-05,1,0.0801022562444236,1,0.00514880710224563,1,1
"Agr_pct-_tothh_ctot-",0.0362586762734482,44.2692172157841,-6.69751793895834e-05,0,0.0221265522336296,1,-0.0438537357929993,0,0
"polenvt_pctl+_Res_pct+",0.0804845704067019,44.3501562656669,-0.000109152088580089,0,0.00807435139785095,1,-0.0136724921825926,0,0
"Agr_pct-_Oth_pct+",0.079784317912999,44.4317990677988,-0.00015153825434755,0,0.062600949739561,1,-0.0401878920203642,0,0
"lingisolation_pctl-_tothh_ctot+",0.127211312013467,44.4760146094376,-0.000174427753788731,0,-0.017971650162012,0,0.00354530861405511,1,1
"medhhinc-_Oth_pct-",0.0260440295193284,44.4914320894903,-0.000182398253554705,0,0.0354172019184795,1,-0.00749795227663874,0,0
"popsens_pctl+_tothh_ctot+",0.131656843066672,44.4992073486121,-0.000186415773260062,0,0.0239593199372199,1,-0.00217155027807925,0,0
"Length_m_ctot+_polenvt_pctl+",0.0684153473753581,44.5319553776933,-0.000203321287580494,0,0.000915099610775627,1,-0.0095816945587881,0,0
"ResCust+_tothh_ctot-",0.0855957038309391,44.5920500457456,-0.000234278625240059,0,0.208643020128057,1,0.0259410606066726,1,1
"polenvt_pctl+_ResCust+",0.121050544455026,45.026981533548,-0.000455839265057545,0,0.0232822511589115,1,0.00147317532583324,1,0
"polenvt_pctl+_tothh_ctot+",0.153226882568494,45.0954760143512,-0.000490337446320321,0,0.0356641479494864,1,0.00299320697731797,1,1
"Agr_pct-_ResCust+",0.165144976049473,45.2763621178613,-0.000580935730013943,0,0.0320067537204052,1,-0.0213582115865094,0,1
"polexposure_pctl+_tothh_ctot+",0.14432260297994,45.3103112665389,-0.000597857907167931,0,0.0163630555915499,1,0.0114024307180349,1,1
"Agr_pct-_Res_pct+",0.102280279812199,45.397577943692,-0.000641239104627545,0,-0.054165303661537,0,-0.0186845459675338,0,0
"Length_m_ctot-_popsens_pctl+_tothh_ctot+",0.0350763137919055,45.7481257146159,-0.000813813814116049,0,0.121515766545094,1,0.0145759627256674,1,0
"Ind_pct+_Oth_pct+",0.0523876939425266,45.9225605622915,-0.000898695475871403,0,-0.000804901221580945,0,-0.0507597718712334,0,0
"polenvt_pctl+_polexposure_pctl+",0.0451240340168145,46.2328238657812,-0.00104807224149051,0,0.0513875846334457,1,0.0279012947094941,1,0
"Agr_pct-_tothh_ctot+",0.205084821168028,46.2399121316359,-0.00105146121801547,0,0.0252770405709499,1,-0.000299976238902211,0,1
"latinx_pct-_ResCust+",0.0853349116373341,46.4915888367404,-0.00117111347529963,0,0.053665921878467,1,0.00294802208945555,1,0
"singleunit_pct+_tothh_perkm+",0.0491800311061297,46.5541161171426,-0.00120063738972487,0,0.0253996337810958,1,-0.121618789795991,0,0
"tothh_ctot+_unitsavg+",0.0805453623024523,46.7129828459594,-0.0012752911207774,0,0.019675502582774,1,0.00328587100763,1,1
"Agr_pct-_Length_m_ctot+",0.0998704254571431,47.0453391908564,-0.00142982163619054,0,0.0773004765348846,1,0.0169685000225219,1,1
"Ind_pct+_popsens_pctl+",0.0351435527853486,47.1931342445931,-0.00149783286686134,0,-0.0437793963955757,0,-0.0234678626104747,0,0
"Ind_pct+_Res_pct+",0.0760341257910085,47.3106119328591,-0.00155158648767939,0,0.00654947472444478,1,-0.0209816596072989,0,0
"lingisolation_pctl+_tothh_perkm+",0.0776713295226787,47.7645037702275,-0.0017567603476949,0,0.000953132291378722,1,-0.09595144849404,0,0
"Ind_pct+_tothh_ctot+",0.141767882193256,48.0296033045528,-0.00187478099894633,0,0.0132938743840327,1,-0.00589872738566033,0,1
"medyrbuilt+_Oth_pct+",0.0629814577262821,48.1659012121717,-0.0019349489354501,0,-0.00970328559136657,0,-0.0427900819148266,0,0
"Ind_pct-_medyrbuilt+",0.111065641730671,48.5517825622301,-0.00210344271967067,0,0.0638718628692696,1,-0.0348104988119284,0,1
"medyrbuilt+_ResCust+",0.139051309099178,48.7599418352965,-0.00219321583319121,0,0.0242083892715921,1,-0.0305322971491742,0,1
"Oth_pct-_tothh_perkm+",0.0965355978476566,48.88031345117,-0.00224477609606799,0,0.00609726264005328,1,-0.0728594856691336,0,0
"Ind_pct-_tothh_perkm+",0.198260526704132,48.8913716077191,-0.00224949990694734,0,0.065595547790368,1,-0.0726332820072129,0,0
"medyrbuilt+_Res_pct+",0.0958640891243919,50.1867770010093,-0.00278831792639611,0,0.0452316314146732,1,-0.00168982323836397,0,1
"Length_m_ctot-_tothh_perkm+",0.10213486527633,50.2857462295408,-0.00282833066075616,0,-0.0220972952194254,0,-0.0445125513899245,0,0
"Res_pct+_tothh_ctot+_tothh_perkm+",0.119255051317295,50.4865447819903,-0.00290902555728234,0,0.0427473402011103,1,-0.0377643107780581,0,0
"medyrbuilt+_polexposure_pctl+",0.0442962906205969,50.5328393209443,-0.00292753805042434,0,-0.104835160557422,0,0.00518199963751265,1,0
"ResCust+_tothh_perkm+",0.240670558803556,50.6727102148655,-0.00298326277025174,0,-0.00494246239602703,0,-0.0368467075576944,0,1
"polexposure_pctl-_tothh_perkm+",0.103849776897864,50.6979883292094,-0.00299330046330049,0,0.056795150714811,1,-0.0363479812939724,0,0
"Res_pct+_tothh_perkm+",0.16472300033447,50.7723753943741,-0.00302278027674885,0,0.00882857980084917,1,-0.0348817979521425,0,1
"medyrbuilt+_tothh_ctot+",0.175438424254285,50.7924685269208,-0.00303072828364148,0,0.0333238787701406,1,0.0103066773650466,1,1
"medyrbuilt+_popsens_pctl+",0.0470272777297002,50.855857262425,-0.00305576065630841,0,0.0544402024878523,1,0.011553894045282,1,0
"Com_pct+_tothh_perkm+",0.0792768972224212,50.9932978319001,-0.00310982039214691,0,0.00528142748916549,1,-0.0305400041512285,0,0
"CircVolt_kV-_Length_m+",0.107290184705237,51.407061010043,-0.00327080424591664,0,0.0347317608669218,1,-0.17046849490527,0,0
"tothh_ctot+_tothh_perkm+",0.308565034685947,52.4295923590116,-0.00365763836412003,0,0.0202315080159134,1,-0.00276304158170371,0,1
"Length_m_ctot+_tothh_perkm+",0.143610099811975,52.9102520366157,-0.00383426102562767,0,0.0269743555924706,1,0.00636290722243915,1,1
"ResCust-_tothh_perkm+",0.0863236596220626,53.9688696632934,-0.00421205986618478,0,0.0010710107335612,1,0.0261731794354954,1,0
"Agr_pct-_tothh_perkm+",0.119666728832656,54.8609911345296,-0.00451901364292562,0,-0.031220938524632,0,0.0425683387827602,1,0
"CircVolt_kV+_Com_pct-_tothh_pct-",0.0494581668071149,55.1205508451283,-0.00460643758937707,0,0.102873727036318,1,-0.166746066900188,0,0
"CircVolt_kV+_tothh_pct-",0.121765699286921,55.7812223644264,-0.00482525800218658,0,0.0285275303174641,1,-0.162390516940567,0,1
"Ind_pct-_Length_m+",0.117142239979577,58.2341178041998,-0.00559386247138294,0,0.075718311880185,1,-0.0457726321211371,0,1
"Com_pct-_Length_m+",0.093937448125251,58.5451434854935,-0.00568668004839168,0,-0.0143580583329004,0,-0.0404458915118378,0,0
"Length_m+_tothh_ctot+",0.183551740760361,61.1906525117022,-0.00643770158904244,0,0.0371112698813956,1,0.00375040944821947,1,0
"hhdensity_hhsqkm+_Length_m+",0.0953254983623212,61.4461868233662,-0.00650679079985972,0,0.104925059063773,1,0.00791774909698173,1,1
"CircVolt_kV+_Oth_pct-",0.0548539382782318,62.6528560668811,-0.00682536403193534,0,-0.0437519580489916,0,-0.0462185449641019,0,0
"ResCust+_tothh_Cpoly+",0.155359598832544,65.0168082126905,-0.00741492918552278,0,-0.0107670422322081,0,-0.0489747833139083,0,1
"CircVolt_kV+_Ind_pct-",0.108436203238916,65.0402433565123,-0.00742055765384686,0,-0.0224357737553551,0,-0.0088216060504589,0,0
